type,false_part,true_version_of_part,entire_statement
conspiracy,The earth is flat.,"The earth is not flat, but rather a spherical shape.",A flat-earther thinks that the earth is flat.
conspiracy,The earth is only a few thousand years old.,The earth is billions of years old.,A creationist thinks that the earth is only a few thousand years old.
conspiracy,Vaccines cause autism.,Vaccines do not cause autism.,An anti-vaxxer thinks that vaccines cause autism.
conspiracy,The Holocaust did not happen.,The Holocaust did happen.,A Holocaust denier thinks that the Holocaust didn't happen.
conspiracy,Barack Obama was not born in the United States.,Barack Obama was born in the United States.,A birther thinks that Barack Obama was not born in the United States.
conspiracy,The 9/11 attacks were an inside job.,The 9/11 attacks were not an inside job.,A 9/11 truther thinks that the 9/11 attacks were an inside job.
conspiracy,Airplanes are releasing harmful chemicals into the atmosphere.,Airplanes are not releasing harmful chemicals into the atmosphere.,A chemtrail conspiracy theorist thinks that airplanes are releasing harmful chemicals into the atmosphere.
conspiracy,World leaders are actually shape-shifting reptilian aliens.,World leaders are not shape-shifting reptilian aliens.,A reptilian conspiracy theorist thinks that world leaders are actually shape-shifting reptilian aliens.
conspiracy,The moon landings were faked.,The moon landings were not faked.,A moon hoax believer thinks that the moon landings were faked.
conspiracy,Dinosaurs and humans coexisted on Earth.,Dinosaurs and humans did not coexist on Earth.,A Young Earth creationist thinks that dinosaurs and humans lived at the same time.
conspiracy,Climate change is a hoax.,Climate change is a scientifically proven phenomenon caused by human activities and is a significant threat to the planet's ecosystems and human societies.,A climate change denier thinks that climate change is a hoax.
conspiracy,A secret cabal of satanic pedophiles controls the world.,There is no secret cabal of satanic pedophiles controlling the world.,A QAnon believer thinks that a secret cabal of satanic pedophiles controls the world.
conspiracy,The position of the stars and planets can affect a person's personality and future.,The position of the stars and planets has no effect on a person's personality and future.,A fan of astrology thinks that the position of the stars and planets can affect a person's personality and future.
conspiracy,Diluting a substance makes it more potent.,Concentrating a substance makes it more potent.,A believer in homeopathy thinks that diluting a substance makes it more potent.
conspiracy,A secret organization controls world events.,There is no secret organization that controls world events.,A believer in the Illuminati thinks that a secret organization controls world events.
conspiracy,"Certain historical events or details have been altered in reality, according to some people who believe in the Mandela Effect.","All historical events and details have remained unchanged in reality, according to the majority of historians and scholars.",A believer in the Mandela Effect thinks that certain historical events or details have been altered in reality.
conspiracy,"There is an undiscovered ape-like creature living in North America, called Bigfoot.","There is no undiscovered ape-like creature living in North America, called Bigfoot.",A believer in Bigfoot thinks that there is an undiscovered ape-like creature living in North America.
conspiracy,There is a giant sea creature living in Loch Ness in Scotland.,There is no giant sea creature living in Loch Ness in Scotland.,A believer in the Loch Ness Monster thinks that there is a giant sea creature living in Loch Ness in Scotland.
conspiracy,The Bermuda Triangle is cursed and responsible for the disappearance of ships and airplanes.,The Bermuda Triangle is not cursed and is not responsible for the disappearance of ships and airplanes.,A believer in the Bermuda Triangle thinks that the area is cursed and responsible for the disappearance of ships and airplanes.
conspiracy,The world was going to end in 2012 according to some believers in the Mayan apocalypse.,"The world did not end in 2012, despite the beliefs of some who subscribed to the Mayan apocalypse theory.",A believer in the Mayan apocalypse thinks that the world was going to end in 2012.
conspiracy,Some people have the ability to read minds or see the future.,No one has the ability to read minds or see the future.,A believer in psychic powers thinks that some people have the ability to read minds or see the future.
conspiracy,There is a secret cabal of powerful people working towards a one-world government.,There is no secret cabal of powerful people working towards a one-world government.,A believer in the New World Order thinks that a secret cabal of powerful people is working towards a one-world government.
